DUST CROSSINGS,,,,,,
"Seq  = Cassini planning sequence, Rev = revolution - defined from apoapse to apoapse",,,,,,
Seq,Rev,Target,Epoch (SCET),Date,Egress,Duration (min)
S08,3,E_ring_lg,2005-047T22:39,Feb16,2005-048T00:09,90
S08,3,E_ring_lg,2005-048T01:46,Feb17,2005-048T03:00,74
S24,29,E_ring_lg,2006-268T22:18,Sep25,2006-268T22:18,1
S34,51,E_ring_lg,2007-297T05:16,Oct24,2007-297T05:39,23
S35,52,E_ring_lg,2007-321T05:09,Nov17,2007-321T05:32,23
S45,92,E_ring_lg,2008-313T21:19,Nov08,2008-313T21:21,2
S45,93,E_ring_lg,2008-321T21:05,Nov16,2008-321T21:07,2
S52,115,E_ring_lg,2009-207T18:29,Jul26,2009-207T18:33,4
S59,129,E_ring_lg,2010-097T09:21,Apr07,2010-097T10:13,52
S59,130,E_ring_lg,2010-117T22:11,Apr27,2010-118T01:12,181
S60,131,E_ring_lg,2010-138T04:59,May18,2010-138T07:54,175
S60,131,E_ring_lg,2010-138T09:09,May18,2010-138T12:04,175
S61,135,E_ring_lg,2010-206T01:07,Jul25,2010-206T01:31,24
S62,136,E_ring_lg,2010-225T22:53,Aug13,2010-225T23:17,24
S62,137,E_ring_lg,2010-245T23:26,Sep02,2010-245T23:50,24
S63,138,E_ring_lg,2010-265T21:45,Sep22,2010-265T22:09,24
S66,144,E_ring_lg,2011-030T23:22,Jan30,2011-031T01:54,152
S69,150,E_ring_lg,2011-191T13:38,Jul10,2011-191T15:52,134
S69,151,E_ring_lg,2011-213T05:52,Aug01,2011-213T08:03,131
S69,152,E_ring_lg,2011-235T01:38,Aug23,2011-235T03:44,126
S92,231,E_ring_lg,2016-030T03:23,Jan30,2016-030T04:02,40
S93,232,E_ring_lg,2016-046T00:34,Feb15,2016-046T00:41,7
S96,249,E_ring_lg,2016-324T07:45,Nov19,2016-324T07:48,2
S97,250,E_ring_lg,2016-332T07:00,Nov27,2016-332T07:02,2
S35,53,G_ring,2007-337T06:41,Dec03,2007-337T06:42,1
S23,28,Methone,2006-252T19:06,Sep09,2006-252T19:06,1
S08,3,Pallene,2005-048T00:03,Feb17,2005-048T01:51,108
S30,45,Pallene,2007-146T22:39,May26,2007-146T22:42,3
S54,119,Pallene,2009-287T06:57,Oct14,2009-287T07:13,16
S92,231,Pallene,2016-030T03:57,Jan30,2016-030T03:58,1