CONJUNCTIONS,,,
CASSINI TOUR EVENT SUMMARY  |  110818 Reference Trajectory | v4,,,
Seq  = Cassini planning sequence,,,
 Rev = revolution - defined from apoapse to apoapse,,,
Seq,Rev,Epoch (SCET),Date
S02,0,2004-187T04:21,5-Jul
S02,0,2004-188T10:13,6-Jul
S02,0,2004-189T16:28,7-Jul
S02,0,2004-192T01:04,10-Jul
S02,0,2004-193T07:12,11-Jul
S02,0,2004-194T12:52,12-Jul
S12,11,2005-201T04:31,20-Jul
S12,11,2005-202T09:58,21-Jul
S12,11,2005-203T15:49,22-Jul
S12,12,2005-205T23:08,24-Jul
S12,12,2005-207T04:45,26-Jul
S12,12,2005-208T09:48,27-Jul
S22,26,2006-216T00:00,4-Aug
S22,27,2006-217T06:47,5-Aug
S22,27,2006-218T18:34,6-Aug
S22,27,2006-220T05:42,8-Aug
S22,27,2006-221T17:27,9-Aug
S22,27,2006-223T00:09,11-Aug
S33,49,2007-230T13:46,18-Aug
S33,49,2007-231T23:19,19-Aug
S33,49,2007-235T17:59,23-Aug
S33,49,2007-237T03:40,25-Aug
S43,83,2008-245T03:20,1-Sep
S43,83,2008-246T18:49,2-Sep
S43,83,2008-249T09:22,5-Sep
S43,84,2008-251T00:37,7-Sep
S53,118,2009-258T00:02,15-Sep
S53,118,2009-260T04:59,17-Sep
S53,118,2009-261T05:05,18-Sep
S53,118,2009-263T10:14,20-Sep
S63,138,2010-271T11:25,28-Sep
S63,138,2010-276T09:29,3-Oct
S70,155,2011-284T11:32,11-Oct
S70,155,2011-289T03:32,16-Oct
S75,173,2012-296T23:22,22-Oct
S75,173,2012-301T16:24,27-Oct
S81,198,2013-308T03:22,4-Nov
S81,199,2013-312T20:15,8-Nov
S86,210,2014-320T00:04,16-Nov
S86,210,2014-324T23:46,20-Nov
S92,226,2015-331T06:14,27-Nov
S92,226,2015-332T19:43,28-Nov
S92,227,2015-335T08:05,1-Dec
S92,227,2015-336T21:06,2-Dec
S97,251,2016-342T12:21,7-Dec
S97,252,2016-343T20:25,8-Dec
S97,252,2016-347T04:43,12-Dec
S97,252,2016-348T12:24,13-Dec